"","workerid","rt","subjectGender","speakerGender","content","verb","contentNr","trigger_class","response","slide_number_in_experiment","age","language","asses","american","gender","comments","Answer.time_in_minutes"
"51",1,3311,NA,"F","Dana wears a wig","control_bad","control_bad1","control",0,27,27,"English","Yes",0,"Male","",2.67233333333333
"52",1,7896,"F","F","Julian dances salsa","demonstrate","18","C",1,28,27,"English","Yes",0,"Male","",2.67233333333333
"53",1,6114,"M","M","Emily bought a car yesterday","inform_Sam","8","C",0.93,29,27,"English","Yes",0,"Male","",2.67233333333333
"54",1,3887,NA,"M","Zack owns a car","control_good","control_good1","control",1,30,27,"English","Yes",0,"Male","",2.67233333333333
"55",1,9895,"F","F","Jayden rented a car","discover","14","NonProj",1,31,27,"English","Yes",0,"Male","",2.67233333333333
"56",1,4673,"F","M","Tony had a drink last night","pretend","15","NonProj",0.05,32,27,"English","Yes",0,"Male","",2.67233333333333
"57",2,8077,"F","F","Josh learned to ride a bike yesterday","prove","16","C",1,5,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"58",2,3827,"M","F","Mary is pregnant","suggest","1","C",0,6,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"59",2,6475,NA,"M","Madison closed the window","control_bad","control_bad3","control",0,7,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"60",2,8484,"F","F","Danny ate the last cupcake","admit","11","C",0.84,8,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"61",2,6348,"M","M","Josie went on vacation to France","inform_Sam","2","C",0.95,9,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"62",2,6034,"M","M","Emma studied on Saturday morning","announce","3","C",0.5,10,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"63",2,8478,"F","F","Frank got a cat","demonstrate","12","C",0.95,11,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"64",2,6517,"M","M","Mia drank 2 cocktails last night","confirm","6","C",1,12,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"65",2,5156,"F","F","Owen shoveled snow last winter","acknowledge","17","C",1,13,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"66",2,4702,"F","F","Jackson ran 10 miles","discover","13","NonProj",1,14,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"67",2,5973,"F","F","Charley speaks Spanish","know","20","NonProj",1,15,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"68",2,8500,NA,"F","the apartment has a balcony","control_bad","control_bad2","control",0,16,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"69",2,5584,"F","F","Tony had a drink last night","be_right_that","15","C",1,17,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"70",2,7870,"M","M","Grace visited her sister","establish","9","NonProj",0.94,18,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"71",2,4631,"F","F","Jayden rented a car","reveal","14","NonProj",1,19,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"72",2,7120,NA,"F","Dana wears a wig","control_bad","control_bad1","control",0,20,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"73",2,5506,NA,"F","Sebastian did really well on the exam","control_bad","control_bad4","control",0,21,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"74",2,4983,"M","F","Zoe calculated the tip","see","10","NonProj",1,22,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"75",2,5833,"M","M","Olivia sleeps until noon","confess","4","C",1,23,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"76",2,7043,"M","F","Emily bought a car yesterday","pretend","8","NonProj",0,24,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"77",2,7081,"F","F","Jon walks to work","say","19","C",0.72,25,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"78",2,4702,NA,"F","Frederick solved the problem","control_good","control_good3","control",1,26,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"79",2,4671,NA,"F","Zack owns a car","control_good","control_good1","control",1,27,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"80",2,7671,"M","F","Isabella ate a steak on Sunday","annoyed","7","NonProj",1,28,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"81",2,7097,NA,"F","the window broke","control_good","control_good2","control",1,29,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"82",2,5559,"F","F","Julian dances salsa","hear","18","C",0.48,30,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"83",2,5754,NA,"F","Vanessa locked the door","control_good","control_good4","control",0.06,31,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
"84",2,6885,"M","F","Sophia got a tattoo","think","5","NonProj",0.06,32,34,"English","Yes",0,"Female","I think this is a good price.",4.1919
